 ,,INFLUENCERS,,CIUDAD / PAÍS,,DÍA,HORARIO DE PUBLICACIÓN,,TIPO DE PUBLICACIÓN,,,,MONETIZACIÓN,,,NÚMERO DE REACCIONES,,,PERSONAS EXPUESTAS (ROL),,,,,,,,,,PLANO PARA TOMAR FOTO/VIDEO,ELEMENTOS TECNOLÓGICOS,DESCRIPCIÓN
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,3:00 P.M.,6:00 P.M.,,X,,,,X,,,,,,,,,,,,,,X,,"Bolsos de mano Givenchy, Adriana Castro y Chanel",Foto de tres bolsos de mano con sus nombres y un texto animado que dice ¨Swipe up¨
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,3:00 P.M.,6:00 P.M.,,,X,,,X,,763.389K,,2.367K,,X,,,X,,,,,,Plano medio corto,Saco blanco maquillaje y fragancia,"My KKW Fragrance Diamond is a fresh white floral scent with notes of ylang ylang, tropical floral leaves and coconut milk cream. Launching on 11.08 at 12PM PST at KKWFRAGRANCE.COM #KKWDIAMONDS"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,5:00 P.M.,8:00 P.M.,,X,,,,X,,,,,,,,,,,,,,X,,Sacos blanco y negro,"Foto de ropa blanca y negra regado, con un texto que dice ¨The most comfy stretchy sweaters¡¡¡ Thank you @delilahbelle @ameliagray @dnathebrand"
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,7:00 P.M.,10:00 A.M.,X,,,,X,,,,,,X,,,,,,,,,,Plano a detalle ,Tenis deportivos ,"Foto de sus tenis, con el texto que dice ""Aliens"""
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,3:00 P.M.,6:00 P.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano americano,Indumentaria y piano,"Video de su esposo, su tutor y su hija tocando el piano,con un texto de dice ¨Best duet @mertalas, Kanye & North."
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,3:00 P.M.,6:00 P.M.,,,X,,X,,,4.051.435M,,15.740K,,X,,,X,,,,,,plano medio,Bikini rosa,Harvard Law.... What? Like it’s hard???
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California",,Viernes,3:00 P.M.,6:00 P.M.,,X,,,X,,,,,,X,,,,,,,,,,Plano medio inferior,"Indumentaria ( Camiseta blanco, leggings negros y tenis)",Video de como ella tiene que ponerse en pie en situaciones difíciles y un medio que ella usa es el ejercicio
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,4:00 P.M.,7:00 P.M.,,,X,,X,,,4.882.030M,,15.050K,,,,,,X,,,X,,Plano completo,"disfraz picapiedra/ primitivo, collar perla, peluca, hueso.",Flintstones
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,4:00 P.M.,7:00 P.M.,,,X,,X,,,4.882.030M,,15.050K,,,,,,X,,,X,,Plano completo,"disfraz picapiedra/ primitivo, concha marina, peluca.",Flintstones
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,4:00 P.M.,7:00 P.M.,,,X,,X,,,2.546.479M,,6.452K,,X,,,X,,,,,,Plano completo,"disfraz picapiedra/ primitivo, concha marina, peluca.",Yabba Dabba Doo!
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,4:00 P.M.,7:00 P.M.,,,X,,X,,,2.546.479M,,6.452K,,,,,,X,,,X,,Plano completo,"disfraz picapiedra/ primitivo, concha marina, peluca.",Yabba Dabba Doo!
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,4:00 P.M.,7:00 P.M.,,,X,,X,,,2.546.479M,,6.452K,,,,,,X,X,,,,Plano completo,disfraz picapiedra/ primitivo,Yabba Dabba Doo!
GLOBAL,INFLUENCER,Kimberly Kardashian,38,"Estados Unidos, Los Ángeles, California","Estados Unidos, Los Ángeles, California",Viernes,4:00 P.M.,7:00 P.M.,,,X,,X,,,6.799.072M,,39.066K,,,,,,X,X,,,,Plano completo,"disfraz picapiedra/ primitivo, collar perla, peluca, hueso.",This family pic was such a challenge because Chicago was so scared of Dino! LOL We tried to explain and show her that it was just daddy but she didn’t get the concept yet! So shout out to the photographer for editing her in & making our family Flintstones dreams come true!
